crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1020,ANES-801.B,MDCO-ANES801.268,MDCO-ANES801.268-vcom.abry.campus,vcom.abry.campus
1022,MEID 605 ENMED,MDCO-MEID605.141,N/A,N/A
1019,MEID-829,MDCO-MEID829.401,MDCO-MEID829.401-vcom.inab.campus,vcom.inab.campus
1017,MEID 619,MDCO-MEID619.226,N/A,N/A
1014,EMED-800.D,MDCO-EMED800.284,MDCO-EMED800.284-vcom.adll.campus,vcom.adll.campus
1012,ANES-801.RSETON,MDCO-ANES801.268,MDCO-ANES801.268-vcom.ardr.seton,vcom.ardr.seton
1011,EMED-811.D,MDCO-EMED811.127,N/A,N/A
1013,ANES-803.CCH,MDCO-ANES803.122,MDCO-ANES803.122-vcom.ahem.campus,vcom.ahem.campus
1015,IMED-803.D,MDCO-IMED803.267,MDCO-IMED803.267-vcom.adll.campus,vcom.adll.campus
1005,IMED-807.B,MDCO-IMED807.142,MDCO-IMED807.142-vcom.abry.campus,vcom.abry.campus
1007,MEID 701 ENMED,MDCO-MEID701.104,N/A,N/A
1000,IMED-844.H,MDCO-IMED844.260,MDCO-IMED844.260-vcom.ahem.campus,vcom.ahem.campus
1009,MPAT-801.H,MDCO-MPAT801.121,MDCO-MPAT801.121-vcom.ahem.campus,vcom.ahem.campus
1006,EMED-809.B,MDCO-EMED809.221,MDCO-EMED809.221-vcom.abry.campus,vcom.abry.campus
1002,SURG-817.D,MDCO-SURG817.247,MDCO-SURG817.247-vcom.adll.campus,vcom.adll.campus
1010,IMED-898.R,MDCO-IMED898.120,MDCO-IMED898.120-vcom.ardr.campus,vcom.ardr.campus
1003,EMED-811.B,MDCO-EMED811.127,MDCO-EMED811.127-vcom.abry.campus,vcom.abry.campus
1001,IMED-803.RBSW,MDCO-IMED803.267,MDCO-IMED803.267-vcom.ardr.bsw,vcom.ardr.bsw
1004,IMED-940.D,MDCO-IMED940.119,N/A,N/A
1008,IMED-824.B,MDCO-IMED824.311,N/A,N/A
