section_id,course_id,integration_id,name,status,start_date,end_date
11806.20262,SURG.805.202615.35B,,SURG-805-35B,active,,
11805.20262,SURG.805.202615.35D,,SURG-805-35D,active,,
11804.20262,SURG.805.202615.35E,,SURG-805-35E,active,,
11800.20262,SURG.805.202615.35H,,SURG-805-35H,active,,
11797.20262,SURG.805.202615.35T,,SURG-805-35T,active,,
11795.20262,SURG.805.202615.36B,,SURG-805-36B,active,,
11792.20262,SURG.805.202615.36D,,SURG-805-36D,active,,
11767.20262,SURG.805.202615.36H,,SURG-805-36H,active,,
11766.20262,SURG.805.202615.36T,,SURG-805-36T,active,,
11765.20262,SURG.805.202615.37B,,SURG-805-37B,active,,
11483.20262,SURG.805.202615.37D,,SURG-805-37D,active,,
10393.20262,MEID.620.202615.30E,,MEID-620-30E,active,,
11482.20262,SURG.805.202615.37E,,SURG-805-37E,active,,
11481.20262,SURG.805.202615.37H,,SURG-805-37H,active,,
11480.20262,SURG.805.202615.37T,,SURG-805-37T,active,,
11479.20262,SURG.806.202615.31B,,SURG-806-31B,active,,
12947.20262,MFCM.806.202615.37T,,MFCM-806-37T,active,,
11478.20262,SURG.806.202615.31D,,SURG-806-31D,active,,
11477.20262,SURG.806.202615.31E,,SURG-806-31E,active,,
11476.20262,SURG.806.202615.31F,,SURG-806-31F,active,,
11471.20262,SURG.806.202615.31R,,SURG-806-31R,active,,
11470.20262,SURG.806.202615.31T,,SURG-806-31T,active,,
11469.20262,SURG.806.202615.32B,,SURG-806-32B,active,,
11468.20262,SURG.806.202615.32D,,SURG-806-32D,active,,
11467.20262,SURG.806.202615.32E,,SURG-806-32E,active,,
11466.20262,SURG.806.202615.32F,,SURG-806-32F,active,,
11465.20262,SURG.806.202615.32R,,SURG-806-32R,active,,
11460.20262,SURG.806.202615.32T,,SURG-806-32T,active,,
11439.20262,SURG.806.202615.33D,,SURG-806-33D,active,,
11430.20262,SURG.806.202615.33R,,SURG-806-33R,active,,
11426.20262,SURG.806.202615.34B,,SURG-806-34B,active,,
11424.20262,SURG.806.202615.34E,,SURG-806-34E,active,,
11422.20262,SURG.806.202615.34F,,SURG-806-34F,active,,
11414.20262,SURG.806.202615.34T,,SURG-806-34T,active,,
11412.20262,SURG.806.202615.35B,,SURG-806-35B,active,,
11411.20262,SURG.806.202615.35D,,SURG-806-35D,active,,
11326.20262,SURG.810.202615.34D,,SURG-810-34D,active,,
11400.20262,SURG.806.202615.35F,,SURG-806-35F,active,,
11394.20262,SURG.806.202615.35R,,SURG-806-35R,active,,
11388.20262,SURG.806.202615.35T,,SURG-806-35T,active,,
11385.20262,SURG.806.202615.36B,,SURG-806-36B,active,,
11383.20262,SURG.806.202615.36D,,SURG-806-36D,active,,
11380.20262,SURG.806.202615.36E,,SURG-806-36E,active,,
11373.20262,SURG.806.202615.36F,,SURG-806-36F,active,,
11325.20262,SURG.810.202615.34T,,SURG-810-34T,active,,
11360.20262,SURG.806.202615.37D,,SURG-806-37D,active,,
11324.20262,SURG.810.202615.35D,,SURG-810-35D,active,,
11357.20262,SURG.806.202615.37F,,SURG-806-37F,active,,
11354.20262,SURG.806.202615.37R,,SURG-806-37R,active,,
11310.20262,SURG.810.202615.35T,,SURG-810-35T,active,,
11308.20262,SURG.810.202615.36D,,SURG-810-36D,active,,
11301.20262,SURG.810.202615.36T,,SURG-810-36T,active,,
11350.20262,SURG.810.202615.31T,,SURG-810-31T,active,,
11339.20262,SURG.810.202615.32D,,SURG-810-32D,active,,
11337.20262,SURG.810.202615.32T,,SURG-810-32T,active,,
11335.20262,SURG.810.202615.33D,,SURG-810-33D,active,,
11300.20262,SURG.810.202615.37D,,SURG-810-37D,active,,
